lambda,acc,rec,prec,method_name,size,percentage_of_known_labels,balanced,noise,trial
0.428571428571429,81.5416420555227,81.4933786549517,81.8516760935056,HTV,3560,0.05,true,0,1
1,85.1620947630923,85.1896023104954,85.4541854156103,HTV,3560,0.1,true,0,1
0.666666666666667,88.1848184818482,88.1853660888131,88.3915063739048,HTV,3560,0.15,true,0,1
0.666666666666667,89.9719495091164,89.9948461442347,90.1304077561151,HTV,3560,0.2,true,0,1
0.666666666666667,81.7357767277023,81.5280040020875,81.8382513522986,HTV,3560,0.05,true,0,2
0.25,86.1596009975062,86.1440301800804,86.2860357344235,HTV,3560,0.1,true,0,2
1.5,87.2607260726073,87.2208451641286,87.4061881506383,HTV,3560,0.15,true,0,2
2.33333333333333,90.0070126227209,90.0246761343845,90.1101930496667,HTV,3560,0.2,true,0,2
